code,name,price,pe,roe,pb,market_cap,change_pct,change_60d,industry
000430,张家界,8.06,5.33,69.14,3.59,65.25661098,0.75,6.33,旅游及景区
001309,德明利,623.75,10.57,67.45,21.36,1414.94979178,1.02,76.4,半导体
688266,泽璟制药-U,92.23,9.65,45.29,14.25,244.14035995,-0.7,8.99,化学制药
688525,佰维存储,323.96,13.17,41.98,18.11,1527.68733878,-1.2,37.4,半导体
301308,江波龙,510.03,13.97,39.4,18.12,2157.738054,-0.94,54.13,半导体
300723,一品红,35.14,6.68,35.91,8.2,158.72483797,0.2,7.07,化学制药
300972,万辰集团,188.34,14.75,34.51,19.39,371.65804197,-1.7,-1.53,休闲食品
000692,惠天热电,4.6,12.43,31.6,13.22,24.5103169,2.45,10.31,电力
002640,跨境通,3.55,8.8,28.36,8.59,55.31046722,1.43,-7.07,互联网电商
600221,海航控股,1.55,9.71,28.1,9.63,669.84230429,1.31,-1.27,航空机场
600132,重庆啤酒,50.03,13.83,27.31,19.41,242.13079036,-0.85,-15.09,非白酒
600719,大连热电,8.67,9.25,26.78,8.7,35.07878532,0.58,28.06,电力
600961,株冶集团,26.0,6.1,25.3,5.52,278.94690278,2.32,34.51,工业金属
002582,好想你,9.44,0.95,24.46,0.87,42.26362491,0,-11.28,休闲食品
688221,前沿生物-U,18.21,7.5,22.91,6.15,68.21077271,-0.82,-6.47,化学制药
002842,翔鹭钨业,41.12,13.43,18.79,9.51,134.53329993,3.6,21.69,小金属
603626,科森科技,21.25,7.65,18.5,5.18,117.91193413,0.71,-8.29,消费电子
002259,升达林业,4.5,11.0,18.35,7.39,33.85477202,0,-17.88,燃气Ⅱ
002215,诺 普 信,9.87,3.29,16.58,2.17,99.15735705,3.03,-6.09,农化制品
002795,永和智控,7.36,11.95,16.48,7.29,32.50819463,0.68,-3.29,通用设备
688111,金山办公,220.27,11.62,15.7,6.75,1020.66977093,2.45,-17.83,软件开发
603045,福达合金,80.15,14.99,15.58,8.81,108.55929173,10.01,165.57,金属新材料
